,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,car_maker
11680, Fiesta,2016,Manual,32332,Petrol,125,54.3,1.2,ford
1292, GLA Class,2017,Automatic,21298,Diesel,145,56.5,2.1,mercedes
204, C Class,2016,Semi-Auto,28388,Diesel,30,64.2,1.6,mercedes
10123, Tiguan,2019,Manual,1695,Diesel,150,47.9,2.0,vw
3731, 3 Series,2019,Semi-Auto,5084,Diesel,150,52.3,2.0,bmw
1642, Superb,2018,Semi-Auto,14110,Petrol,150,53.3,1.4,skoda
11187, Kuga,2017,Manual,23833,Diesel,145,54.3,2.0,ford
2505, Yaris,2017,Manual,16058,Petrol,150,58.9,1.5,toyota
7626, 1 Series,2015,Manual,30000,Diesel,20,70.6,1.5,bmw
15233, Focus,2017,Automatic,20733,Petrol,150,51.4,1.0,ford
3069, GLE Class,2017,Semi-Auto,17722,Diesel,260,42.8,3.0,mercedes
7611, Polo,2019,Manual,1267,Petrol,150,49.6,1.0,vw
14365, Touran,2017,Manual,35680,Diesel,145,62.8,2.0,vw
4248, M5,2019,Semi-Auto,4800,Petrol,145,26.9,4.4,bmw
7364, GLC Class,2019,Semi-Auto,6769,Diesel,145,40.9,2.0,mercedes
6045, Octavia,2018,Automatic,28186,Petrol,145,57.7,1.5,skoda
3205, Focus,2018,Manual,23738,Petrol,145,60.1,1.0,ford
12152, Focus,2015,Semi-Auto,48895,Petrol,165,44.8,1.6,ford
4482, Focus,2018,Manual,17897,Petrol,145,57.7,1.0,ford
2260, GLE Class,2017,Semi-Auto,29054,Diesel,200,47.9,2.1,mercedes
5078, GLA Class,2020,Semi-Auto,3195,Petrol,145,35.8,1.6,mercedes
6469, Verso,2016,Manual,7674,Diesel,30,62.8,1.6,toyota
1688, Golf,2019,Manual,15348,Petrol,150,49.6,1.0,vw
6789, C Class,2019,Semi-Auto,3668,Petrol,145,30.4,3.0,mercedes
11352, CL Class,2016,Automatic,48485,Diesel,125,58.9,2.1,mercedes
3294, Golf,2016,Semi-Auto,27058,Petrol,200,39.8,2.0,vw
8591, 1 Series,2016,Manual,39512,Diesel,0,78.5,1.5,bmw
3041, Golf,2016,Semi-Auto,16475,Petrol,30,53.3,1.4,vw
10993, Focus,2017,Semi-Auto,16943,Petrol,125,51.4,1.0,ford
1421, Fiesta,2017,Manual,11377,Petrol,145,64.2,1.1,ford
8779, Focus,2019,Manual,9960,Petrol,145,60.1,1.0,ford
421, Fiesta,2019,Semi-Auto,26799,Petrol,145,48.7,1.0,ford
4654, Golf,2019,Manual,5000,Diesel,145,55.4,2.0,vw
4670, Aygo,2016,Manual,26556,Petrol,0,69.0,1.0,toyota
8940, RS5,2014,Automatic,49989,Petrol,555,26.4,4.2,audi
6554, GLA Class,2015,Semi-Auto,22367,Diesel,125,55.4,2.1,mercedes
8608, Polo,2016,Manual,15623,Petrol,20,60.1,1.2,vw
4088, Golf,2018,Manual,12652,Diesel,145,55.4,1.6,vw
3196, Golf,2015,Semi-Auto,26314,Diesel,20,67.3,1.6,vw
3543, 3 Series,2020,Semi-Auto,2500,Petrol,145,33.6,3.0,bmw
16862, Mondeo,2007,Manual,127000,Petrol,260,37.2,1.8,ford
15820, Kuga,2017,Automatic,34308,Diesel,145,54.3,2.0,ford
5295, Aygo,2017,Manual,7078,Petrol,150,68.9,1.0,toyota
317, 4 Series,2020,Semi-Auto,25,Petrol,145,48.7,2.0,bmw
4144, Golf,2019,Manual,10200,Petrol,145,37.2,2.0,vw
7700, A Class,2016,Semi-Auto,24369,Diesel,20,68.9,2.1,mercedes
1972, Focus,2017,Manual,12094,Petrol,145,61.4,1.0,ford
5598, Kamiq,2020,Automatic,228,Petrol,145,44.1,1.5,skoda
1089, 4 Series,2015,Semi-Auto,21803,Diesel,165,49.6,3.0,bmw
3738, Golf,2018,Manual,33074,Diesel,150,61.4,1.6,vw
12956, Ka+,2018,Manual,6045,Petrol,145,47.9,1.2,ford
4169, Kodiaq,2019,Semi-Auto,7096,Diesel,145,39.2,2.0,skoda
13295, Beetle,2014,Semi-Auto,41587,Petrol,260,37.2,2.0,vw
1142, Golf,2016,Manual,24010,Diesel,20,67.3,2.0,vw
215, B-MAX,2017,Manual,41294,Diesel,0,74.4,1.5,ford
4922, Golf,2017,Automatic,17182,Diesel,145,57.7,2.0,vw
10231, A3,2016,Semi-Auto,14298,Petrol,30,58.9,1.4,audi
4329, Aygo,2015,Semi-Auto,11500,Petrol,0,67.0,1.0,toyota
5295, 4 Series,2019,Semi-Auto,8812,Diesel,145,60.1,2.0,bmw
8354, Mustang,2018,Semi-Auto,28915,Petrol,145,22.1,5.0,ford
10067, A3,2019,Automatic,289,Petrol,150,34.9,2.0,audi
3929, Aygo,2017,Manual,13000,Petrol,150,68.9,1.0,toyota
203, T-Roc,2019,Manual,3500,Petrol,145,42.2,1.5,vw
7594, Polo,2016,Manual,20665,Petrol,20,60.1,1.2,vw
1154, 3 Series,2017,Semi-Auto,17347,Hybrid,140,134.5,2.0,bmw
1691, Golf,2014,Manual,61958,Diesel,20,67.3,2.0,vw
4541, X1,2019,Manual,1501,Petrol,145,51.4,1.5,bmw
5255, X2,2019,Semi-Auto,6801,Diesel,145,58.9,2.0,bmw
4503, Fiesta,2014,Manual,45018,Petrol,0,65.7,1.0,ford
14388, Mondeo,2018,Automatic,22645,Diesel,145,45.6,2.0,ford
5232, Superb,2016,Manual,107000,Diesel,20,68.9,2.0,skoda
4944, Focus,2019,Manual,10279,Petrol,145,58.9,1.0,ford
7468, E Class,2019,Semi-Auto,1000,Diesel,145,57.7,2.0,mercedes
4483, Golf,2016,Manual,24907,Petrol,30,53.3,1.4,vw
1233, Yaris,2017,Manual,31623,Petrol,145,58.9,1.5,toyota
2371, Superb,2018,Manual,15053,Diesel,150,64.2,2.0,skoda
2007, C Class,2018,Automatic,12145,Diesel,145,58.9,2.1,mercedes
5948, 2 Series,2020,Automatic,3622,Petrol,145,42.2,1.5,bmw
15150, Eos,2014,Manual,58000,Diesel,125,58.9,2.0,vw
6862, Polo,2018,Manual,2665,Petrol,145,52.3,1.0,vw
8026, 3 Series,2014,Automatic,31028,Petrol,200,43.5,2.0,bmw
13897, Kuga,2014,Manual,78800,Diesel,200,47.9,2.0,ford
831, 5 Series,2019,Semi-Auto,7730,Diesel,145,60.1,2.0,bmw
797, Q2,2017,Manual,22379,Petrol,125,52.3,1.4,audi
1030, Yaris,2017,Manual,9386,Petrol,145,56.5,1.5,toyota
2426, Golf,2019,Manual,7987,Petrol,145,47.1,1.5,vw
560, 1 Series,2014,Semi-Auto,38689,Petrol,235,37.7,3.0,bmw
8014, CL Class,2019,Semi-Auto,7259,Petrol,145,38.2,2.0,mercedes
2099, A Class,2016,Manual,31865,Diesel,20,68.9,1.5,mercedes
7589, Polo,2018,Manual,19789,Petrol,150,64.2,1.0,vw
14948, Shuttle,2017,Semi-Auto,4828,Diesel,145,47.1,2.0,vw
2916, 1 Series,2019,Automatic,11303,Diesel,145,48.7,2.0,bmw
5866, Octavia,2015,Manual,35000,Diesel,30,61.4,2.0,skoda
1276, C Class,2019,Automatic,151,Petrol,145,29.7,3.0,mercedes
15034, Focus,2017,Manual,27878,Diesel,0,74.3,1.5,ford
2072, X4,2019,Semi-Auto,8454,Diesel,150,42.8,2.0,bmw
3040, Golf,2019,Automatic,4800,Diesel,145,52.3,2.0,vw
4667, Golf,2015,Manual,48242,Petrol,200,39.8,2.0,vw
10379, A4,2019,Automatic,6992,Petrol,145,38.7,2.0,audi
1177, X4,2017,Semi-Auto,35000,Diesel,150,54.3,2.0,bmw
3388, B Class,2017,Semi-Auto,27000,Diesel,145,68.9,2.1,mercedes
6813, 1 Series,2019,Semi-Auto,6879,Petrol,145,39.8,3.0,bmw
8993, Polo,2017,Manual,13759,Petrol,145,58.9,1.0,vw
8951, Polo,2019,Manual,5938,Petrol,145,52.3,1.0,vw
5358, Z4,2019,Semi-Auto,9955,Petrol,145,38.7,2.0,bmw
2688, Kuga,2016,Manual,29680,Diesel,145,54.3,2.0,ford
6216, A Class,2017,Semi-Auto,43865,Diesel,145,68.9,2.1,mercedes
10723, Tiguan,2019,Manual,7407,Diesel,145,47.9,2.0,vw
6641, Fiesta,2018,Manual,20100,Petrol,145,56.5,1.0,ford
12165, Focus,2018,Automatic,12500,Diesel,145,67.3,1.5,ford
13920, Arteon,2019,Semi-Auto,9301,Diesel,145,50.4,2.0,vw
1223, Yeti,2013,Manual,33000,Diesel,205,47.1,2.0,skoda
4592, B Class,2020,Semi-Auto,19,Diesel,145,55.4,2.0,mercedes
1989, Yaris,2018,Manual,12189,Petrol,150,47.1,1.5,toyota
8468, B Class,2019,Automatic,12410,Petrol,145,45.6,1.3,mercedes
3105, Golf,2015,Manual,29507,Petrol,145,47.1,2.0,vw
2359, Yaris,2017,Manual,37521,Petrol,30,55.0,1.3,toyota
11962, E Class,2018,Automatic,7832,Diesel,145,58.9,2.0,mercedes
5305, Aygo,2017,Manual,21145,Petrol,0,68.9,1.0,toyota
3518, Fiesta,2016,Manual,35064,Petrol,0,65.7,1.0,ford
12790, C Class,2016,Automatic,32719,Diesel,30,64.2,1.6,mercedes
1331, A Class,2018,Semi-Auto,8279,Petrol,145,53.3,1.3,mercedes
2886, A1,2019,Semi-Auto,4150,Petrol,150,47.9,1.0,audi
10232, 3 Series,2016,Automatic,23114,Diesel,145,53.3,3.0,bmw
2232, Yaris,2019,Manual,2847,Petrol,150,47.9,1.5,toyota
3198, Kamiq,2019,Semi-Auto,3000,Petrol,145,43.5,1.5,skoda
1978, B-MAX,2014,Manual,41628,Petrol,30,57.7,1.0,ford
1895, A Class,2019,Semi-Auto,2900,Petrol,145,53.3,1.3,mercedes
625, Superb,2019,Semi-Auto,10,Diesel,145,62.8,2.0,skoda
15661, B-MAX,2016,Manual,41818,Petrol,30,57.7,1.0,ford
2364, Citigo,2018,Manual,18500,Petrol,150,64.2,1.0,skoda
2035, Focus,2019,Automatic,6521,Petrol,150,50.4,1.0,ford
10313, X4,2015,Automatic,32101,Diesel,200,47.9,3.0,bmw
3562, Focus,2016,Manual,26950,Petrol,200,41.5,2.0,ford
1680, GLE Class,2019,Automatic,7629,Petrol,145,29.5,3.0,mercedes
3340, C Class,2019,Semi-Auto,9109,Diesel,145,57.7,2.0,mercedes
11338, EcoSport,2018,Semi-Auto,5266,Petrol,145,48.7,1.0,ford
6709, EcoSport,2018,Manual,8003,Petrol,145,51.4,1.0,ford
2134, Golf,2014,Manual,31639,Petrol,30,58.9,1.4,vw
2682, A Class,2017,Semi-Auto,25600,Petrol,150,40.9,2.0,mercedes
2458, Golf,2017,Manual,12069,Petrol,145,44.1,2.0,vw
6597, Hilux,2017,Automatic,11517,Diesel,260,36.2,2.4,toyota
5615, 3 Series,2016,Manual,35210,Diesel,30,64.2,2.0,bmw
8458, E Class,2019,Semi-Auto,1000,Diesel,145,42.8,3.0,mercedes
3824, Aygo,2019,Manual,3712,Petrol,145,56.5,1.0,toyota
2906, Fiesta,2018,Manual,15502,Petrol,145,65.7,1.0,ford
9999, A3,2016,Manual,18668,Petrol,125,49.6,2.0,audi
5820, Kamiq,2019,Manual,4177,Petrol,145,47.1,1.0,skoda
5498, Golf,2018,Manual,37423,Diesel,150,61.4,1.6,vw
10222, X1,2016,Manual,71848,Diesel,125,58.9,2.0,bmw
8927, Polo,2017,Semi-Auto,12246,Petrol,145,60.1,1.2,vw
8596, Fiesta,2016,Manual,19350,Petrol,20,62.8,1.0,ford
16950, S-MAX,2007,Manual,129000,Diesel,200,45.6,1.8,ford
273, E Class,2016,Semi-Auto,30132,Diesel,30,64.2,2.1,mercedes
3539, SLK,2015,Semi-Auto,37265,Diesel,30,70.6,2.0,mercedes
11725, Kuga,2017,Automatic,17980,Petrol,235,38.2,1.5,ford
416, RAV4,2014,Manual,59627,Diesel,125,57.6,2.0,toyota
5325, Citigo,2016,Automatic,9888,Petrol,20,64.2,1.0,skoda
1474, Golf,2016,Manual,10124,Petrol,30,53.3,1.4,vw
8192, E Class,2019,Semi-Auto,14391,Diesel,145,72.4,2.0,mercedes
12697, Up,2019,Manual,3000,Petrol,145,54.3,1.0,vw
4859, Aygo,2017,Manual,31065,Petrol,150,68.9,1.0,toyota
11253, Tiguan,2016,Manual,13723,Petrol,150,48.7,1.4,vw
9495, E Class,2013,Automatic,87100,Diesel,150,58.9,2.1,mercedes
6894, Focus,2018,Manual,15448,Petrol,145,41.5,2.0,ford
11700, Tiguan,2018,Manual,12755,Petrol,145,48.7,1.4,vw
1415, Golf,2017,Manual,12047,Diesel,30,60.1,2.0,vw
2446, Yaris,2017,Automatic,15000,Petrol,30,58.0,1.3,toyota
6116, Kodiaq,2019,Semi-Auto,6965,Petrol,145,32.1,1.5,skoda
811, Q2,2018,Manual,12300,Petrol,145,52.3,1.4,audi
1064, 3 Series,2017,Semi-Auto,28173,Hybrid,0,134.5,2.0,bmw
3768, Golf,2019,Automatic,11192,Diesel,145,52.3,2.0,vw
467, Superb,2019,Semi-Auto,3562,Diesel,150,47.9,1.6,skoda
8633, 1 Series,2013,Manual,67708,Diesel,0,74.3,1.6,bmw
15766, Fiesta,2011,Manual,67145,Petrol,125,50.4,1.2,ford
1677, Yaris,2018,Manual,9012,Petrol,145,56.5,1.5,toyota
2822, A Class,2016,Manual,27925,Petrol,150,50.4,1.6,mercedes
11765, SLK,2000,Automatic,87000,Petrol,265,27.2,3.2,mercedes
4755, Aygo,2018,Manual,21899,Petrol,150,68.9,1.0,toyota
5853, Yeti Outdoor,2014,Manual,27655,Petrol,160,46.3,1.2,skoda
11504, C Class,2015,Manual,76472,Diesel,20,70.6,2.1,mercedes
6515, EcoSport,2017,Manual,14800,Petrol,145,52.3,1.0,ford
3678, Q3,2019,Semi-Auto,7841,Petrol,150,31.7,2.0,audi
6605, X5,2019,Automatic,7329,Diesel,145,37.7,3.0,bmw
5063, Golf,2017,Automatic,22769,Hybrid,135,166.2,1.4,vw
14833, Kuga,2013,Manual,67311,Diesel,205,47.9,2.0,ford
201, T-Roc,2018,Manual,9287,Petrol,145,53.3,1.5,vw
8779, Polo,2016,Semi-Auto,13321,Petrol,20,60.1,1.2,vw
1332, Focus,2019,Manual,13696,Diesel,145,62.8,1.5,ford
5449, 3 Series,2018,Semi-Auto,21657,Diesel,145,62.8,2.0,bmw
10590, A3,2019,Automatic,5025,Diesel,145,51.4,2.0,audi
8483, A4,2020,Automatic,4521,Diesel,145,50.4,2.0,audi
4622, Aygo,2016,Manual,20815,Petrol,0,69.0,1.0,toyota
3712, A1,2017,Manual,15100,Petrol,150,58.9,1.4,audi
11305, B Class,2012,Automatic,74397,Petrol,145,47.9,1.6,mercedes
8316, Kuga,2017,Manual,49455,Diesel,145,54.3,2.0,ford
12983, GLA Class,2015,Automatic,42740,Diesel,125,55.4,2.1,mercedes
3927, Fabia,2017,Manual,20075,Petrol,20,60.1,1.2,skoda
3463, V Class,2019,Automatic,2753,Diesel,145,36.7,2.0,mercedes
5069, A3,2016,Semi-Auto,31128,Petrol,165,43.5,2.0,audi
2383, 2 Series,2017,Semi-Auto,36367,Petrol,200,39.8,3.0,bmw
592, RAV4,2017,Manual,19200,Diesel,125,60.1,2.0,toyota
12487, A Class,2017,Manual,31784,Diesel,20,72.4,1.5,mercedes
7414, A3,2009,Manual,92000,Petrol,200,40.9,1.6,audi
6582, X5,2019,Automatic,4943,Diesel,145,37.7,3.0,bmw
6768, X2,2019,Semi-Auto,8791,Diesel,145,61.4,2.0,bmw
11952, Focus,2018,Semi-Auto,9305,Petrol,150,51.4,1.0,ford
3024, Golf,2019,Manual,13452,Petrol,145,47.1,1.5,vw
3925, Aygo,2018,Manual,13658,Petrol,150,68.9,1.0,toyota
3693, Octavia,2013,Manual,50657,Petrol,125,53.3,1.4,skoda
648, Fabia,2019,Manual,11125,Petrol,145,57.7,1.0,skoda
10547, A5,2020,Automatic,15,Diesel,145,47.1,2.0,audi
7477, EcoSport,2018,Manual,13400,Petrol,145,54.3,1.0,ford
2306, V Class,2018,Manual,23075,Diesel,145,46.3,2.1,mercedes
308, X3,2015,Semi-Auto,41567,Diesel,145,54.3,2.0,bmw
2391, Q2,2019,Semi-Auto,8664,Diesel,150,46.3,1.6,audi
7040, Polo,2019,Manual,1000,Petrol,145,48.7,1.0,vw
5757, Passat,2020,Semi-Auto,15,Diesel,145,49.6,1.6,vw
2325, A4,2018,Manual,27954,Petrol,150,53.3,1.4,audi
10302, 3 Series,2017,Automatic,22457,Diesel,160,49.6,3.0,bmw
2613, 3 Series,2020,Manual,15,Diesel,145,58.9,2.0,bmw
6164, 4 Series,2018,Semi-Auto,22270,Diesel,145,60.1,2.0,bmw
11881, EcoSport,2018,Manual,12202,Petrol,150,54.3,1.0,ford
4714, Focus,2018,Manual,8976,Petrol,145,57.7,1.0,ford
15183, Fiesta,2016,Manual,36421,Petrol,0,65.7,1.0,ford
10478, Ka+,2017,Manual,34302,Petrol,145,57.7,1.2,ford
10718, Tiguan,2017,Manual,38329,Diesel,165,50.4,2.0,vw
4094, A3,2019,Automatic,6000,Petrol,145,33.2,2.0,audi
523, Fabia,2016,Manual,16902,Petrol,20,60.1,1.0,skoda
4990, 2 Series,2019,Semi-Auto,5290,Petrol,145,48.7,1.5,bmw
8708, Polo,2019,Manual,2500,Diesel,145,55.4,1.6,vw
8466, A8,2017,Automatic,4510,Diesel,145,50.4,3.0,audi
3105, Octavia,2017,Manual,8814,Petrol,145,54.3,1.4,skoda
7669, Focus,2018,Manual,12073,Diesel,145,74.3,1.5,ford
8810, A1,2017,Manual,23785,Petrol,145,70.6,1.4,audi
759, Q5,2019,Automatic,4326,Diesel,145,38.2,2.0,audi
1484, GLA Class,2015,Semi-Auto,36462,Diesel,125,55.4,2.1,mercedes
648, A5,2019,Automatic,6500,Diesel,145,46.3,2.0,audi
9271, E Class,2019,Automatic,1411,Diesel,145,45.6,2.0,mercedes
4837, GLA Class,2015,Semi-Auto,38990,Diesel,125,56.5,2.1,mercedes
3407, X1,2019,Semi-Auto,4884,Petrol,145,44.8,2.0,bmw
4490, E Class,2019,Semi-Auto,14487,Diesel,145,72.4,2.0,mercedes
3347, Fabia,2017,Semi-Auto,4385,Petrol,150,60.1,1.2,skoda
3955, GLA Class,2018,Automatic,9659,Diesel,145,58.9,2.1,mercedes
11441, Fiesta,2018,Manual,10591,Petrol,145,58.9,1.0,ford
3889, Golf,2015,Semi-Auto,37643,Petrol,30,56.5,1.4,vw
829, A Class,2016,Semi-Auto,33530,Diesel,20,74.3,1.5,mercedes
2594, Fabia,2018,Manual,15834,Petrol,145,64.2,1.0,skoda
979, GLC Class,2018,Semi-Auto,21659,Diesel,145,56.5,2.1,mercedes
6877, Q2,2019,Automatic,2466,Diesel,145,46.3,2.0,audi
1659, Golf,2017,Semi-Auto,22243,Petrol,205,39.8,2.0,vw
3543, Q5,2019,Automatic,14598,Diesel,145,56.5,2.0,audi
593, 4 Series,2017,Semi-Auto,16463,Diesel,145,65.7,2.0,bmw
1207, Q2,2019,Manual,6971,Petrol,145,44.1,1.0,audi
1681, GLA Class,2017,Semi-Auto,7565,Diesel,145,56.5,2.1,mercedes
5918, A4,2019,Automatic,8362,Petrol,145,39.8,2.0,audi
1531, Fabia,2019,Manual,9247,Petrol,145,61.4,1.0,skoda
910, Kodiaq,2018,Manual,14252,Petrol,145,40.9,1.4,skoda
1977, Fabia,2019,Manual,8465,Petrol,145,61.4,1.0,skoda
5283, Aygo,2018,Manual,8764,Petrol,150,56.5,1.0,toyota
565, C Class,2016,Manual,49761,Diesel,20,68.9,2.1,mercedes
11384, Tiguan,2017,Manual,12000,Diesel,125,58.9,2.0,vw
5834, EcoSport,2017,Manual,28585,Diesel,30,64.2,1.5,ford
3146, Auris,2015,Automatic,60501,Hybrid,0,76.4,1.8,toyota
4031, Grand C-MAX,2016,Manual,12548,Diesel,30,64.2,1.5,ford
2676, A Class,2013,Manual,32457,Petrol,125,51.4,1.6,mercedes
8357, EcoSport,2018,Manual,10546,Petrol,145,54.3,1.0,ford
498, RAV4,2016,Automatic,32132,Hybrid,20,55.4,2.5,toyota
4997, Aygo,2017,Semi-Auto,21034,Petrol,145,67.3,1.0,toyota
2318, Yaris,2017,Manual,13482,Petrol,30,55.0,1.3,toyota
2213, GLC Class,2017,Automatic,29933,Diesel,145,56.5,2.1,mercedes
3677, EcoSport,2014,Manual,60381,Diesel,30,61.4,1.5,ford
4377, A Class,2016,Manual,18749,Petrol,145,49.6,1.6,mercedes
37, 1 Series,2016,Manual,29226,Diesel,30,62.8,2.0,bmw
10772, Tiguan,2019,Manual,15007,Diesel,145,47.9,2.0,vw
663, Octavia,2019,Manual,14379,Diesel,145,68.9,1.6,skoda
12953, Focus,2017,Semi-Auto,30120,Diesel,30,61.4,2.0,ford
3111, Auris,2018,Automatic,11866,Hybrid,140,65.6,1.8,toyota
6230, Karoq,2019,Automatic,9700,Petrol,145,41.5,1.5,skoda
14572, Golf SV,2019,Manual,2600,Diesel,145,55.4,1.6,vw
16285, Focus,2015,Manual,66804,Diesel,0,74.3,1.5,ford
886, Yaris,2017,Manual,15700,Petrol,145,58.9,1.5,toyota
4547, A1,2019,Manual,6272,Petrol,145,50.4,1.0,audi
9217, A5,2018,Automatic,9735,Diesel,145,58.9,3.0,audi
1940, Yaris,2017,Manual,5196,Petrol,150,58.9,1.5,toyota
3561, C Class,2019,Semi-Auto,14006,Petrol,145,46.3,1.5,mercedes
3322, GLE Class,2018,Semi-Auto,8976,Diesel,145,36.7,3.0,mercedes
217, EcoSport,2017,Manual,30207,Petrol,145,53.3,1.0,ford
6846, Polo,2017,Manual,34030,Petrol,20,60.1,1.2,vw
12789, Up,2020,Manual,2000,Petrol,145,54.3,1.0,vw
13275, Fiesta,2020,Manual,100,Petrol,145,56.5,1.0,ford
8552, Q5,2015,Manual,36435,Diesel,200,47.9,2.0,audi
8405, A3,2019,Manual,5262,Diesel,150,52.3,1.6,audi
3277, Golf,2017,Manual,39384,Diesel,20,72.4,1.6,vw
546, C Class,2019,Semi-Auto,5116,Diesel,145,61.4,2.0,mercedes
12078, Fiesta,2019,Manual,11719,Petrol,145,60.1,1.0,ford
10383, A Class,2020,Automatic,1060,Petrol,145,53.3,1.3,mercedes
10164, 3 Series,2014,Automatic,58436,Diesel,145,56.5,2.0,bmw
565, T-Roc,2020,Manual,1000,Diesel,150,50.4,2.0,vw
1835, Superb,2016,Manual,36102,Diesel,20,68.9,1.6,skoda
7627, E Class,2019,Semi-Auto,14242,Diesel,145,72.4,2.0,mercedes
4674, Superb,2020,Semi-Auto,350,Diesel,145,47.1,2.0,skoda
10157, A5,2010,Automatic,90000,Petrol,235,39.8,2.0,audi
6794, T-Cross,2019,Manual,4587,Diesel,145,52.3,1.6,vw
3984, Fiesta,2018,Manual,11201,Petrol,145,58.9,1.0,ford
313, Corolla,2019,Automatic,10175,Hybrid,135,85.6,1.8,toyota
4589, Aygo,2019,Manual,812,Petrol,145,57.7,1.0,toyota
3017, Auris,2017,Automatic,3589,Petrol,20,61.4,1.2,toyota
8007, C Class,2015,Semi-Auto,15566,Petrol,125,50.4,2.0,mercedes
1599, 4 Series,2014,Automatic,46833,Petrol,145,47.1,2.0,bmw
4415, Q5,2018,Semi-Auto,15387,Petrol,145,34.0,3.0,audi
10241, A Class,2017,Manual,23697,Diesel,145,68.9,1.5,mercedes
3672, Octavia,2017,Semi-Auto,17704,Diesel,30,64.2,2.0,skoda
12342, E Class,2017,Automatic,24639,Diesel,20,72.4,2.0,mercedes
3354, Octavia,2019,Manual,5199,Diesel,145,67.3,1.6,skoda
10359, A1,2016,Manual,37008,Diesel,0,76.3,1.6,audi
5044, Aygo,2017,Semi-Auto,9500,Petrol,145,67.3,1.0,toyota
6158, GLS Class,2017,Semi-Auto,32875,Diesel,305,37.2,3.0,mercedes
5238, Golf,2017,Manual,19347,Diesel,145,67.3,1.6,vw
4357, Superb,2020,Semi-Auto,575,Hybrid,135,188.3,1.4,skoda
15979, Focus,2018,Manual,11856,Petrol,145,57.7,1.0,ford
12989, C Class,2017,Automatic,25917,Diesel,20,64.2,2.1,mercedes
7800, Focus,2019,Manual,3141,Petrol,145,60.1,1.0,ford
2780, A Class,2019,Semi-Auto,8899,Diesel,145,67.3,1.5,mercedes
3576, 2 Series,2016,Manual,32015,Diesel,20,74.3,1.5,bmw
9310, Ka+,2018,Manual,27760,Petrol,145,57.7,1.2,ford
9745, A8,2015,Automatic,41522,Diesel,200,47.9,3.0,audi
14659, Golf SV,2019,Manual,1700,Diesel,145,53.3,1.6,vw
2634, Fabia,2017,Manual,23094,Petrol,20,60.1,1.2,skoda
8379, B-MAX,2016,Manual,16461,Petrol,30,57.7,1.0,ford
1481, M4,2018,Manual,8869,Petrol,145,32.1,3.0,bmw
2511, E Class,2014,Automatic,75829,Diesel,125,57.7,2.1,mercedes
2567, Fiesta,2018,Manual,30922,Petrol,145,65.7,1.0,ford
555, T-Roc,2019,Manual,2980,Diesel,150,50.4,1.6,vw
4256, A3,2018,Semi-Auto,15200,Petrol,145,56.5,1.5,audi
440, Fabia,2019,Manual,7770,Petrol,145,60.1,1.0,skoda
11579, Tiguan,2013,Automatic,58425,Diesel,200,47.7,2.0,vw
369, Q3,2017,Semi-Auto,20075,Petrol,150,42.2,2.0,audi
4758, E Class,2019,Semi-Auto,3139,Petrol,145,31.7,3.0,mercedes
6025, 3 Series,2020,Semi-Auto,4506,Diesel,150,52.3,2.0,bmw
5780, Passat,2018,Semi-Auto,24786,Diesel,145,62.8,2.0,vw
13276, Beetle,2014,Manual,40830,Petrol,235,38.7,2.0,vw
8350, Mondeo,2016,Manual,75309,Diesel,30,64.2,2.0,ford
1350, Fabia,2017,Manual,11224,Petrol,145,64.2,1.0,skoda
3971, 3 Series,2019,Manual,3512,Diesel,145,54.3,2.0,bmw
4856, Golf,2019,Manual,10285,Diesel,145,57.7,1.6,vw
7993, 1 Series,2017,Manual,32140,Diesel,145,72.4,1.5,bmw
5634, X5,2018,Automatic,26107,Hybrid,135,85.6,2.0,bmw
6239, S Class,2018,Automatic,2499,Petrol,145,34.0,4.0,mercedes
828, Q3,2018,Semi-Auto,11487,Petrol,145,42.2,2.0,audi
3451, Auris,2014,Automatic,32198,Hybrid,0,70.6,1.8,toyota
8106, E Class,2019,Semi-Auto,8919,Diesel,145,48.7,3.0,mercedes
9813, A4,2016,Manual,14380,Diesel,0,74.3,2.0,audi
6457, Fiesta,2015,Manual,25283,Petrol,0,65.7,1.0,ford
2837, Q3,2017,Manual,32500,Diesel,30,61.4,2.0,audi
927, Q2,2018,Manual,11088,Petrol,145,50.4,1.4,audi
596, T-Roc,2019,Manual,7000,Diesel,145,50.4,1.6,vw
3753, Fabia,2018,Semi-Auto,14020,Petrol,145,61.4,1.0,skoda
14782, Amarok,2018,Automatic,20811,Diesel,260,36.2,3.0,vw
12265, Focus,2018,Manual,7506,Petrol,145,60.1,1.0,ford
6013, Passat,2019,Manual,17104,Diesel,145,53.3,2.0,vw
7223, A5,2016,Semi-Auto,10000,Petrol,165,44.8,1.8,audi
6902, Q3,2015,Semi-Auto,69150,Petrol,205,40.4,2.0,audi
7663, 3 Series,2013,Automatic,73000,Diesel,125,57.6,3.0,bmw
4427, Golf,2015,Manual,43288,Diesel,20,67.3,2.0,vw
152, C Class,2014,Automatic,37600,Diesel,30,64.2,2.1,mercedes
2984, A4,2019,Automatic,6146,Petrol,145,38.2,2.0,audi
6651, Q3,2016,Automatic,29985,Diesel,145,51.4,2.0,audi
10561, 1 Series,2017,Manual,36811,Diesel,20,72.4,1.5,bmw
4498, 5 Series,2020,Semi-Auto,11,Hybrid,145,49.6,2.0,bmw
3872, A6,2019,Semi-Auto,6000,Diesel,145,50.4,2.0,audi
