,price
16971,4295
2795,17750
6184,14999
4548,7495
4633,18499
5205,14795
6495,10500
10266,16699
5349,20190
1128,6995
1255,11490
6602,14598
5169,7228
13331,28000
808,17495
7101,9498
6196,18795
1489,15995
1357,28500
5984,19250
10812,26900
8200,15995
3663,18850
10117,22790
14583,6913
16764,13499
15628,5000
2089,21232
12945,3495
17184,12249
9431,12000
221,29995
1627,27316
1676,36380
1297,21796
6604,18300
1965,22991
17093,12250
8637,9991
3822,28382
7392,29990
3313,11795
7453,11675
4024,40990
452,22890
11008,18999
1183,16370
8754,35849
5936,18500
6279,9291
8983,13481
5341,20390
11985,20290
2617,6989
16147,9395
14459,19985
6057,12790
6767,7900
590,12455
2683,10493
3327,10850
4003,8690
8577,13000
2535,9698
11837,36995
483,24365
4571,7888
5052,17096
8568,10497
5718,21980
981,12850
10360,17998
2532,20310
1967,59990
388,16995
2075,16886
6773,62499
1841,31499
4223,7991
6723,8498
5360,15240
14537,9495
751,15498
12699,9750
3325,13930
7384,9995
258,23340
8897,10395
5415,26176
2735,9730
3042,35980
4961,23995
2302,10295
10627,20100
14703,6800
6012,18980
10986,15000
7989,12295
10848,8500
12772,11299
2821,16795
2229,21795
12013,25780
17670,10500
2272,9995
11809,24999
4619,7990
1983,12995
3529,12295
6529,16995
9166,18290
1717,9600
6731,5995
6391,13295
2247,6295
11997,17995
1016,15490
2842,7882
9649,7100
10023,9124
928,19498
1910,12295
13180,15940
6107,22000
1719,12436
9590,18950
4367,13495
9438,13290
9546,27950
9468,38990
545,13998
5440,29500
11814,15000
5917,35000
7515,74199
5718,31998
7219,22699
3559,21550
17007,11500
4359,9210
12546,15500
1132,15590
9962,17399
9399,12212
10402,13595
204,19961
8759,33149
137,21000
11525,5290
9917,15999
5332,25950
4617,23442
731,12498
7530,25850
2875,12480
3684,13490
9047,19350
644,18500
15484,12600
11207,11880
6407,33292
312,19190
10872,33900
3264,8995
5699,35995
10879,28250
9953,13649
5238,6800
6670,54991
6249,19500
15164,14250
362,11998
14371,17299
8852,19690
1722,16991
11206,8699
7850,7150
2053,6997
12535,7180
9067,16212
9402,22399
4413,22444
12425,13800
165,17500
17262,4895
1812,22780
9937,12499
10393,18590
8922,11300
11678,48500
7127,55499
6665,26995
2578,15000
11672,32397
3949,13497
14690,12695
7093,24995
15138,10000
1802,13770
4827,18780
8573,11726
5502,14450
1672,11698
7695,20000
2917,20990
3400,11880
5194,35980
1306,18436
11597,15940
4642,12990
9902,12695
5470,7995
3939,11997
7607,8490
2718,25572
2739,7700
12367,10200
4445,15990
12685,24400
2384,13498
9610,16500
80,21750
7240,25990
3808,7695
8475,38799
6913,10100
9430,36990
12062,15990
3989,16297
2624,6590
11399,8699
11095,36991
6247,22250
3166,15490
509,15498
10272,6995
5193,10995
12540,14400
1788,13698
8766,11995
2571,15940
6445,63806
8711,7200
11310,9699
1014,12070
12585,19000
10933,14999
9937,15595
173,16995
120,12690
11183,19995
1337,29698
2546,14480
1256,10795
9405,23289
7789,12950
3569,21990
475,38534
14011,22490
4168,9997
2783,8999
1587,19990
344,32990
1881,14498
669,20380
9148,44699
7247,26895
348,20498
5144,8199
6352,18500
2709,22470
5144,26995
7650,10995
865,18991
2595,5975
8765,33569
3089,31072
9707,7000
7953,16490
3841,33950
2442,30480
2586,8667
3879,9490
7579,9750
2219,30916
3920,18698
1601,14795
5673,39390
2341,10710
4330,18640
7017,23849
2115,13491
3847,11497
2023,13795
4231,47980
6087,31992
2208,12760
900,15995
5990,8298
6395,16882
6966,6995
4243,18000
330,22065
3992,6480
9777,8990
9962,7500
4623,10495
9726,20500
3614,13995
6613,11040
3140,24300
3235,15300
6507,27895
7157,8998
1980,18217
10744,8800
612,40999
6044,10995
14235,9999
7359,11480
3923,21980
9185,9000
6391,16495
4835,30580
3027,22495
8225,18940
4795,18741
9365,16199
4885,7995
2288,9490
7986,19999
11204,15799
7043,17490
1012,21999
2072,29151
1371,5495
15795,9700
1212,20490
8979,12500
1663,11300
6276,30995
2331,21500
159,11995
6199,19723
10,10495
14380,16800
8320,25999
3107,11995
7554,12298
11818,17790
7948,12086
17257,11295
8676,32950
7994,19999
2073,63980
11878,14500
10159,19299
14297,13910
14056,28990
10821,12299
9441,13299
5822,16390
2073,20612
3335,10799
2556,28995
4851,11490
4978,23940
2876,23242
2432,27000
7925,13495
1835,11200
3693,18995
1024,7698
16284,7799
1167,15275
9349,19999
4133,32472
5490,23480
12143,9885
1235,16490
1490,21176
514,9490
8640,25990
17780,5500
5513,52000
15014,8199
13710,16495
1289,17295
7435,7958
2316,22995
8367,12139
10619,18277
6764,17987
4093,12495
4963,37995
8453,11513
7955,9691
4690,16298
1679,10180
8252,13190
4706,6795
1085,10698
825,16695
3842,13497
17873,10900
13464,3495
3980,11040
6290,56900
1016,18998
5997,13745
826,10498
1248,6690
164,16900
602,12498
918,16998
212,29485
10350,11560
6845,12100
11499,7799
5870,9890
1387,26972
3816,25390
15139,8400
453,8395
7393,18490
14676,9770
9670,8500
4970,42995
653,16998
12326,10000
6984,11750
5112,28987
3271,29990
3106,30000
850,18900
12782,34000
1736,17698
1265,16741
1885,7830
17872,7900
5793,22995
6947,30199
7767,34499
16702,10399
2261,21000
8879,14500
1870,18990
1779,4998
8768,15200
8608,24049
13580,2695
17528,11599
10062,53998
4720,10900
9086,36699
3854,28896
5511,19182
8488,9890
10911,15950
5268,43541
8724,9290
11340,14999
16598,16799
14839,24998
8748,60699
11158,13399
8013,11217
4966,36490
4033,21990
8530,16750
4713,6895
12637,11850
2797,16500
14389,22999
6792,19950
3565,20890
3135,15295
4127,8790
1288,27595
5448,10995
3376,24775
5162,17990
4229,18495
977,10498
8600,59889
3974,25165
2063,7210
157,10498
13590,4500
8682,19800
7522,11750
1517,18990
6139,9999
10555,10979
6037,15490
1454,27860
15289,7489
11209,19999
1856,24280
3119,7490
15348,11800
861,34698
10095,12950
4530,18890
221,16998
2724,14295
7946,25000
4300,10495
3071,18998
178,13998
9499,9000
111,13600
7034,21390
240,18000
3966,10250
11017,12999
11946,22741
10245,11500
15188,11000
5844,10285
13079,16521
477,20880
3639,19995
8887,24999
5961,20300
4391,15791
16578,9899
10276,15999
5927,16947
8036,14939
2176,15490
7255,14985
4058,22995
7588,11200
7599,12995
6958,33995
7316,8995
15635,8295
14850,6500
10734,17700
2449,7298
644,12495
10083,15495
12477,15700
4660,21781
1781,7990
2786,12480
55,18621
11704,15699
12923,5799
3135,16495
9054,9500
13250,12500
1699,12698
1044,9000
11994,26490
8907,17950
10027,19795
715,12998
7874,8472
4792,41980
9667,10860
2949,33980
13667,24998
3043,26680
7840,9998
8454,20930
7374,10499
4129,19998
11329,22899
4843,13790
15874,10899
1466,18498
3041,21498
6782,12732
8295,14495
6409,21295
10000,16750
4,14500
2515,9290
10687,18750
13451,39995
2219,15562
157,29995
13356,37500
6805,11999
5091,12490
4566,15498
5472,41491
10243,15600
8763,10400
4963,8999
10087,9995
15664,14000
4373,34999
6202,8299
181,30985
10746,11000
13787,14995
3477,12950
10570,33000
1717,11490
3020,13862
1829,15845
6138,31470
5347,15100
12523,12400
8901,9195
13638,13000
7367,22400
5406,16979
17722,8400
14004,7550
15879,16800
686,9498
5522,15995
1198,12990
9512,9750
9074,11990
6028,17000
2439,52900
5461,5751
12400,10491
2646,19990
3719,24500
738,16119
10354,12200
2018,26000
1274,29770
6001,17980
12841,12600
14193,9189
1881,7800
1391,5995
6022,21995
1095,18495
7636,8491
11008,18898
633,29950
10211,10689
12681,9490
5874,7699
8024,10495
3400,13901
2511,9999
11740,31990
2316,12012
10574,10900
3816,11474
10211,13900
4309,16990
7518,29944
3780,10350
16985,6295
8624,8500
3528,5200
10446,18995
6517,10500
2978,27990
11363,8699
7198,17900
6058,11480
3356,11998
10015,17495
2395,5995
5820,22491
322,22998
11557,15999
9125,21600
1051,10360
11856,6350
14110,14998
4831,19480
5484,46490
1023,8070
9981,21499
6871,23199
1572,19998
8849,9500
12767,5000
5293,32995
10649,9500
7876,18950
5212,21790
1878,7298
5145,34987
12332,18991
7276,7698
2812,27980
9580,10650
1335,28689
3388,17990
1797,13498
4019,16311
7841,20998
12742,10799
1040,31990
1677,26580
699,16995
5855,24999
3076,11091
2567,29990
12643,44995
14045,9490
3247,23999
3551,11980
10931,14499
8133,23099
15642,8100
8337,10999
5012,26990
318,23650
4197,15495
6576,71995
65,18950
8345,26949
9701,5499
3419,23490
1353,18904
7026,18000
4461,9831
6032,63495
8622,26450
14519,12180
10412,16800
445,9298
2716,8222
15023,7999
1361,8795
2823,10360
7094,55995
498,20398
390,22330
1530,11695
6252,27750
517,14790
5275,19000
14748,15497
4900,8599
10814,15999
6868,10995
2906,14700
3429,8378
4079,15250
12491,18600
3263,9755
6939,17290
9881,18250
4865,24490
15988,9920
9505,13500
1406,13000
13782,35250
5405,32101
8679,15950
845,8498
3903,5999
9303,9950
2589,11675
3497,72990
13763,36991
5719,18995
1433,14298
630,15390
331,14995
519,13998
3603,15495
17542,5500
4480,13650
5663,22498
4252,8995
15807,14989
4075,17420
9460,19999
10492,17249
12452,6940
1395,10495
1713,26692
14500,11998
11634,15800
1950,13180
833,7900
3179,19490
2670,24490
12380,17800
1688,8995
495,15000
1083,10998
7839,29750
1567,20400
163,16999
12359,14500
4511,4999
12464,15800
317,22990
1778,16995
11845,23995
7256,23895
9296,17490
7908,19990
13298,10495
6617,39990
7111,6191
3111,27990
4586,9995
3107,6995
788,27898
8022,17499
9222,17599
14507,17500
12349,18700
6846,10600
7571,30599
2379,12798
4518,29490
3270,9590
12258,5000
12132,16700
16809,11999
1125,16495
7540,19000
9729,7600
1251,14790
844,16900
4764,15780
9850,15999
1082,27880
13693,34650
9735,9495
11863,19299
3771,10950
4372,19300
764,9591
13190,21450
10400,24995
8397,20499
10130,29995
5607,31950
6036,8499
10294,33995
6601,17495
4343,19991
5080,17490
5600,9995
6085,20575
4478,9495
294,9998
11243,23842
14005,10990
5795,21495
6956,42430
1803,15267
11313,16699
9810,9490
13891,7700
10584,18300
7456,8000
8420,12499
3459,14990
11604,34480
9212,18500
469,17998
2305,13500
3288,20390
4549,10950
12693,34890
986,9495
14480,10488
4861,15500
9490,29990
13301,9299
14794,16498
6407,39895
10106,14000
396,16698
3824,10950
5675,18070
5210,11995
5318,52950
6944,15700
5600,18499
4113,20225
6351,12498
5086,8491
1835,9599
1218,11798
15099,11495
9573,10000
3391,12220
16980,2695
9150,24699
7324,10750
8481,18649
3729,27734
13650,35990
1980,13450
9218,9295
1045,9498
10186,10000
13373,11150
290,33998
2386,11000
16870,5000
4594,9991
6163,13950
1118,14998
6652,16995
10314,28495
1480,7850
416,31995
7081,35495
3116,16362
16672,4999
2161,17890
6350,25000
6611,20995
11542,13199
8131,11930
5018,9900
4200,9200
29,8699
13611,38220
239,16000
3979,22990
3331,16690
1338,16498
4051,7695
8010,19990
2814,10990
12015,13690
9023,9350
118,22730
3667,20980
16627,14099
14533,22995
9369,27490
2504,15290
9966,12999
4722,18157
7923,9990
9388,35990
2227,10990
8451,13499
1225,11498
3794,14995
10024,14795
2822,12000
9558,12450
11303,13999
171,31998
15242,13989
2213,23780
11694,9499
3094,19000
9600,19995
8843,16995
5476,21995
8085,12000
3013,24250
8835,12900
6716,20875
4520,11499
3694,11490
1321,17380
6077,28990
9034,12290
664,20790
4341,18000
10531,44995
2064,19300
8660,15450
6091,12999
10740,18995
13998,17999
5772,18391
9153,14995
12634,11528
3531,18495
3603,14000
4312,30495
5332,8000
2219,8790
7749,10500
946,20498
2258,16495
1909,16350
4320,21800
2188,15141
1565,10590
10488,24750
6670,31050
13830,8990
3887,21990
3306,9995
4393,8282
5273,5200
7532,11490
1133,11880
2998,43990
5024,14990
6356,7500
9010,9500
875,26427
3284,7995
7735,14990
14166,7842
5544,13831
12147,16500
77,12800
2263,35850
4146,15495
9226,54990
1874,21699
5283,18047
2379,9698
1425,15532
586,10350
4818,8306
5790,20495
9992,6495
14731,30999
5922,19750
1669,12899
9284,12995
17396,8500
3298,62000
3346,6780
10977,18999
14078,5990
1273,10998
13145,15500
9795,8400
2506,42124
5853,23490
3727,21000
8528,12390
4472,23495
6511,18950
3219,17498
10313,13200
280,21229
1340,10989
13538,3995
1143,12800
9817,13899
3583,14495
5112,5495
4404,12500
5489,3295
15366,12000
351,14698
6343,11298
16015,10199
806,13298
2195,9995
8703,14800
5775,21995
8922,17990
12593,8750
743,19450
12860,14750
567,12991
3906,28990
12724,10995
1539,16290
8263,12699
3069,16500
9859,8299
15659,8250
579,18995
9790,17490
5974,27990
710,17990
6289,6390
9548,72950
3083,20890
1827,11298
8683,13990
11268,27990
10305,9200
4939,13995
6479,36900
11080,25950
300,21300
11715,29750
7383,13675
5840,17000
544,6998
2112,16276
5368,24995
12286,19000
492,19000
3877,29995
4647,24480
6491,17810
5703,13352
7054,8399
9792,64789
5422,10499
16063,10799
352,11489
5861,16866
4661,28989
13630,9980
186,12485
4050,7500
1560,14998
6642,64652
5983,22450
17513,10500
6572,14485
3725,29980
13057,12000
502,9998
8184,18998
4956,18295
5690,11998
7777,12941
3087,10990
14112,11999
8122,20000
3837,7250
7645,9995
5096,8499
13913,18800
11523,15199
3008,16570
14008,37500
9102,19099
6245,49980
3147,10495
3733,21750
11874,28999
2894,9895
10357,13498
14434,20989
7910,20700
10009,9100
5183,6499
4173,23298
4874,12999
8743,10795
12941,22315
5971,21326
10532,9679
13218,21450
3057,24990
1895,12795
3398,12041
2763,12690
12330,16991
5958,17400
6719,23812
9073,48249
1941,21495
7209,8495
3260,17330
1453,19990
9409,10000
4579,29995
8728,29899
1496,6500
3310,10298
803,18998
4954,9198
4543,8995
5939,12100
10467,13647
489,9499
5985,15980
2036,16898
4010,16490
15044,19000
11482,19999
15265,11000
10126,10200
3713,25980
6004,17399
590,17790
5980,25295
10115,21390
5413,33000
3829,11950
1128,5990
11984,14490
5010,47990
5157,25690
16518,3495
387,39998
1839,13600
5983,10495
15399,10700
3040,17998
6365,28990
1879,19750
2179,19995
1695,21995
9017,9495
5946,20495
4872,19980
12811,42990
1357,6295
17918,18122
720,13975
10226,34948
3179,11455
4378,12480
14260,8225
5548,34995
5246,15770
8835,17400
8706,14500
563,25495
4596,12491
3833,29999
6746,25729
8410,8100
6991,8595
6079,11200
4969,6999
5137,12500
13572,6900
10098,69890
12809,19990
3713,11495
1666,9761
13303,11000
17684,8950
6570,8795
2511,15698
11735,19004
12276,9999
17561,11000
1919,11195
3765,11750
4112,19250
11890,54990
13696,18900
10822,8799
7056,24908
12361,16600
2466,13498
4869,44480
10437,21750
2598,28990
4892,5000
12457,9690
1556,12995
17179,8750
5122,9791
14435,9999
5497,21999
6999,29750
9272,11000
1923,28995
935,7495
4163,13499
410,13995
1660,29991
14909,31899
3672,21749
2564,15182
2747,51862
16826,6295
1295,32060
3177,23480
3973,24980
7151,9500
421,19452
9561,6774
149,22790
6217,53990
12356,26000
6221,18190
984,7995
1612,14995
13127,12142
987,13995
4633,32950
9480,8995
10839,17600
1867,18560
6196,33950
601,21290
6687,15500
2011,31970
4499,33995
1566,16490
1341,23995
4160,47000
3487,7750
3379,23995
4058,22590
13796,13995
621,32999
2436,18327
632,9498
6297,48750
6074,6900
1511,11036
6850,14995
12957,29690
3276,16495
9068,14778
1545,10295
7606,15200
1445,21995
2163,19751
8180,34579
6415,7950
7049,52995
9202,13295
10936,19201
14368,18000
3261,17480
2581,9730
16100,4750
1380,15990
3925,17990
17914,18999
762,18991
6280,22999
14396,14999
2274,27995
8419,23830
1315,10995
3232,21980
3016,30777
7309,38899
6164,9499
4497,19990
5806,10190
4427,14450
866,8498
4013,25391
991,29998
1708,28010
13965,24816
12758,11300
13559,41995
15033,8200
17912,21499
15667,18250
11685,11250
1994,15290
889,36500
1302,13988
1460,11322
5312,5475
1945,25041
10256,9685
428,19995
10014,9800
9442,34990
3276,14724
6199,14440
1559,14999
3124,21990
13969,27500
2974,24998
7091,8781
3173,10490
3481,19990
13588,17290
1885,18990
5982,15001
10238,5690
2541,13995
2129,18840
17095,8500
3186,9998
2173,28995
6510,19990
2117,11495
16568,18256
8554,14299
1346,23995
7517,11995
10158,23490
948,13390
4776,8951
6284,7492
5428,19749
4408,16730
10165,16995
544,21298
14930,22999
9776,14999
9998,12000
5703,20750
7870,47500
3716,31650
9277,11495
11410,10995
3116,31480
8495,43199
11963,23995
3674,25490
9925,6950
6875,28599
9543,10599
282,23590
3896,12980
7879,14000
15445,8700
6889,26199
3927,27497
448,31998
746,14491
13583,22500
3291,9998
319,8600
3052,27000
5887,19995
8716,33699
14239,16990
8996,10000
1082,9790
1429,21356
589,17985
5612,14650
9411,11500
833,8250
2840,28950
2587,17495
919,23998
12784,9799
4662,13997
4409,12410
4604,9699
511,19995
12965,11750
1378,15300
1836,11495
8520,24650
5759,14690
13015,17000
11442,13499
9911,5995
6090,41890
2879,17940
1904,12295
17893,9999
6101,24000
5568,5900
93,19840
9580,30950
5831,21052
6658,16299
10625,12500
14090,9490
5440,7000
17628,9900
4908,7250
219,24498
5843,17787
1762,21444
2133,22499
578,14695
1817,19998
8833,9690
5046,32990
4427,49990
2008,9450
489,35995
12228,12400
14149,26298
14360,11495
4518,25142
464,12995
5491,10500
9315,29990
9571,10400
12281,9999
5162,28888
1250,12178
5244,19999
15651,14500
5433,48155
6196,6250
810,13995
5213,49980
9303,6191
5730,14689
11877,16500
1509,22500
2197,14241
6993,15900
9899,18480
5707,22995
5981,12780
3587,5490
6968,19520
15069,7600
3046,28993
7051,47789
5310,8000
1358,34790
14567,8999
571,25490
5699,21995
3646,21498
6393,8799
15429,10300
6267,46999
1482,14500
3057,15990
4844,16995
2910,24450
5695,38950
8529,11500
2700,31366
4735,20000
2604,22620
3662,25780
6230,25996
12779,14499
4415,19000
836,10298
17604,8100
11113,17999
9495,38990
4765,9495
5887,22500
4978,7995
6358,29850
5943,26980
9251,9550
10529,32748
1284,14490
3083,19371
724,21599
10718,9500
11697,17958
8747,62399
12925,17250
4806,23162
2088,33450
10412,27490
5257,24990
14518,10899
7602,25299
12022,11800
5313,30000
6324,51950
10794,32990
8989,16800
7965,10999
3406,39844
12661,19480
1314,28991
3040,13595
1898,29570
5637,34990
10464,10000
11630,18300
16320,5895
13671,48990
12902,8000
12412,13000
5033,8930
10578,25995
6667,33900
11605,19980
17953,7199
3139,28800
13551,51995
4787,9995
13559,9500
7166,9995
629,19990
6032,27245
6041,32400
4744,13795
2775,11690
11259,10399
177,22998
9097,24539
3755,12806
17059,20000
7129,24995
8504,16995
4287,5572
8103,26349
6107,10500
5747,20698
5179,33480
4648,18990
3781,17999
2235,27880
773,10998
8836,19500
17470,11070
17070,5295
3981,11444
3601,44995
3600,13650
384,29945
3064,17300
1210,23896
122,28250
8720,12800
5546,14995
291,23591
5348,17680
9153,9495
4168,19499
3901,10791
3774,11999
8750,13480
9029,7290
8441,4495
10001,21999
9993,69995
14517,18490
5782,27990
1580,13895
10672,13100
6867,37320
12526,20500
765,48898
3151,9698
6240,24444
8951,11999
1413,8691
5166,9400
2725,52422
2627,28995
3020,30980
7670,10791
776,1600
8875,12000
276,9998
335,29874
1541,21995
3946,34980
905,7298
2530,8450
10760,18620
39,8261
5429,29999
297,22700
1180,7795
13440,10500
10448,9600
7166,26475
1127,15880
10406,18495
9849,13999
2079,18620
3015,16750
10501,15850
1922,33490
1945,7552
3036,18280
11471,18690
11659,45000
3765,12950
12782,12999
4407,13990
657,20749
6790,41989
6262,25489
4493,20157
13509,11980
4713,13990
4866,25980
2745,13250
11692,27000
1209,32420
10196,10200
12888,5695
16178,10995
2736,19000
6847,14870
8630,95950
2906,22971
4693,8495
9648,14000
9395,26495
5675,13200
2175,12000
3892,27690
4882,16612
438,10798
2811,8997
2017,17495
5853,10120
14649,12295
9220,11495
8329,9899
12204,20750
6506,23900
6242,49950
13258,20000
2232,21505
10180,10993
12664,4995
17819,9500
16319,10697
4081,6500
10116,27190
12715,28890
14507,5393
6411,4994
1250,14498
10534,28998
8451,35659
4264,15710
13369,7790
771,21500
7411,13000
1394,15570
10288,18100
12634,21000
5738,20682
87,23990
8185,30799
14891,34495
5462,20499
6126,29970
3005,15000
7612,13321
579,20498
2959,16995
1538,11995
3070,7495
7326,4499
4502,31990
6624,7899
6424,23795
7886,21000
8884,20298
2882,6497
2126,9678
5112,10730
5823,21995
9189,27990
11205,36799
745,14498
12354,6495
3824,13350
2482,17291
11470,15499
13056,11500
5392,8500
3836,18450
8703,13700
3746,10897
6633,20250
10316,16998
4994,39990
1503,19945
7298,23199
13417,44450
8605,15950
13647,41990
14903,7000
9079,12350
5732,19990
390,15995
1364,20998
5662,21990
5223,16291
10713,13995
12067,18100
5592,6820
2781,22980
9285,6590
2521,26530
6108,36000
7726,8990
6092,40945
6085,29980
10538,10940
12526,8500
577,24998
4784,6698
14423,20999
4912,24900
9606,11469
5696,18995
9219,21995
2626,14998
5536,9995
2848,10907
13420,11290
6822,9490
1905,12998
2908,5990
2202,14249
5178,14999
6575,9625
7396,29990
12022,20000
2140,21991
28,12499
4073,9995
1461,11698
9187,47488
4102,5298
6392,9950
146,9698
2554,17498
936,12495
3580,20995
5496,39995
2020,14200
8490,14925
911,21698
11786,10900
4936,36980
6419,41750
2117,12468
6105,9800
14133,19995
4154,11496
2232,29980
1707,28799
1382,7295
17621,11900
1902,27260
5114,42987
3325,15895
12229,17500
1892,6995
3061,15000
47,15500
11111,33950
9300,23290
5178,33480
531,19995
2834,30990
11714,8594
6992,10495
1026,16750
2433,46000
6226,14550
1971,8795
7475,15465
1802,12995
2753,12990
6257,17000
7374,13975
6141,20995
2207,7390
474,19995
17084,11500
10149,11990
6156,32000
499,25480
3381,9681
8334,17495
9345,15499
9124,13690
12386,17000
7608,24646
9030,11999
3563,15600
14226,18991
1575,16700
3986,12495
14344,9880
7424,10995
8862,18799
4278,12200
8529,25499
5807,11490
13109,15690
2961,15995
6590,21999
10905,28995
4624,9399
10526,10998
3975,18990
7386,13975
6234,21450
5655,17995
2335,11999
3260,12780
2831,13500
8821,138439
16463,12369
767,16998
9423,20995
2037,18990
10969,26790
8816,11300
8285,23450
2215,10990
13999,18980
6645,30399
5402,9995
8615,32700
3227,21995
3363,22500
489,10300
5959,14000
10005,6480
8941,35999
351,51000
8014,10595
8924,12250
8108,6990
7441,18495
8495,48989
6815,21199
14308,18999
12891,18500
4138,16998
11063,17290
9077,54500
6169,23750
5194,19660
10565,19303
8830,14995
11400,10699
2234,20750
6875,20999
2292,15495
4003,21490
2248,16995
13864,11290
11893,9295
12927,10190
2984,21350
3757,12360
5319,22950
13068,10790
8472,29930
5879,18600
6622,9699
7969,10092
11730,7490
7653,12990
3208,18391
2238,12390
13543,23798
7573,13000
8362,17695
5272,23990
14223,6500
208,12695
1004,24491
6799,12298
843,7498
9159,20991
14218,18995
15800,5200
5392,9491
4808,27225
9969,13000
2574,22600
2251,7995
6457,28874
14821,14299
1506,19950
8593,19085
12214,15599
2344,13795
945,10495
5365,29750
12902,25799
408,12498
15566,9300
2172,15331
5312,24987
11154,25980
836,10498
6569,9995
15981,4599
8071,9500
1002,17000
5237,17450
1997,19998
16116,17495
3440,11950
2837,10299
5102,12990
6214,32970
12026,9600
2472,9480
2060,19246
13187,18000
11538,24999
6406,29995
9194,11499
5338,22871
2574,10120
4859,17500
936,12390
4751,9059
856,5698
2523,16200
5747,11800
686,8995
7773,8902
12765,2495
4010,24499
10722,24790
13247,10000
1931,49990
5799,11700
2616,21991
9197,15995
13804,21995
14607,17450
1940,31495
14272,6789
10051,36998
2668,6745
5474,9999
5570,14990
4924,9500
1792,12495
2783,23990
10634,45595
97,11000
3206,14000
2636,32850
16865,3995
513,26490
1340,23950
12320,10500
2116,54990
12883,19800
6819,24099
11512,24749
5858,33000
1192,15596
2909,11490
1870,32970
13121,10500
2324,8799
4615,19690
14600,20190
5837,30990
14458,8470
471,19500
6152,7885
10436,26995
10536,25000
4258,19995
3741,28686
15801,8389
11551,18899
2298,17600
5388,16800
3955,9290
2241,29980
2105,7002
6317,21795
6957,15695
3075,11288
5005,10740
5679,22990
2444,14992
5775,13000
14918,6299
9072,12999
3700,6498
4488,39480
6981,14490
7158,24995
1651,40092
5808,46495
1054,19998
1119,9990
1957,11998
3069,7995
7309,10700
5418,32000
3550,20495
6398,25900
7075,9298
6015,19000
3954,22790
3531,28480
338,22500
9629,5990
9497,9899
2885,5490
10164,9793
1581,26888
3001,9119
8112,17699
1146,12498
11217,18499
5773,30300
2075,7299
7298,10291
6531,22990
2473,18500
9621,19500
8986,22299
7098,9545
5578,7490
9199,14500
5010,11399
436,23298
3598,20995
9848,13499
3196,17980
12431,14300
576,17150
1657,14450
108,11498
11394,9999
14701,9695
926,10298
8875,11999
15365,5000
9791,12890
5768,10000
2253,48940
2320,31000
4626,45490
5810,15650
4398,25999
5211,25980
5958,17300
5683,14000
3190,8995
1550,11998
1284,18998
153,20499
5484,9990
3853,10495
7489,5850
7725,10490
6766,16993
4210,52850
8436,11500
7710,41000
10098,31000
5670,16998
14923,23000
3514,6391
9250,12260
6943,14599
735,19390
8470,14999
5293,15940
1678,10499
3145,25780
4891,7490
9859,10995
3171,28480
1050,16998
3306,5295
6650,19250
3788,10497
4600,26890
8113,23470
5506,20995
9892,12990
6613,26125
1172,16998
2681,23981
7026,25000
4989,22500
4969,15500
8216,17000
2119,15495
1197,23995
16168,7995
16576,8000
12002,20495
5742,16985
731,9798
9546,12800
4172,18799
10734,29750
5421,13560
2704,28975
4047,24725
3268,18650
4568,18025
7261,23490
5760,24995
975,20888
8489,12500
3370,15791
6058,30900
4492,20995
8364,12539
5268,11187
6020,18495
12708,6990
16257,15495
4466,26663
4416,9800
10534,9979
9599,14195
13118,54999
16863,4295
15856,10499
7286,16995
6004,26500
7936,15490
3698,17546
1461,26499
12058,15990
7984,46500
14680,10799
2243,10965
9407,7200
12280,13700
5223,35495
1166,10290
6110,22500
10095,8695
5102,19642
3401,13990
10658,14995
4750,48950
10782,13995
1202,34496
5195,8795
1124,14495
6778,47789
10392,31400
6074,20550
10983,26790
5021,14500
4181,12995
1010,7995
4986,15980
13087,20971
2221,25995
7962,31099
6747,21500
7468,11995
3259,16490
5976,12995
17005,8950
8634,46950
3188,13950
4655,16011
10529,13999
3120,16990
3063,20450
9969,33000
7634,36000
14811,14999
3594,12500
3882,5770
4442,14000
12340,9000
3000,24440
706,21495
2845,9100
2643,21142
3058,8990
2787,29990
9609,17490
3202,9990
3507,4995
7509,8498
4275,22480
2696,27980
9882,8399
5489,8700
2617,18897
155,20499
1543,9245
1619,9495
6040,25400
5502,5000
266,21498
7280,7298
11431,14999
3986,7500
3813,18990
5507,25488
6195,15362
8817,40899
5576,9691
14774,34490
4191,48251
799,15995
6652,27699
13107,24999
1026,16150
3540,24992
885,20890
6457,7599
9756,10749
3215,13192
2802,21390
1557,17975
881,17990
8518,19560
2615,10999
3653,11990
12800,17200
1654,16995
6007,11395
4083,12941
6708,15261
8845,25999
4461,16990
6079,18750
4133,32000
10085,12495
4184,7270
11085,11950
556,25995
7634,16490
7272,22699
4386,4500
2699,9995
10305,21498
17323,6490
7721,14498
13351,19995
14981,12498
6073,23945
5123,14990
11179,19399
1455,19995
6821,33990
1241,17998
10754,17999
10249,4295
4367,8298
8644,39950
2395,28880
427,11995
10397,18490
12564,16400
5197,17750
5199,24980
9522,16250
4122,10000
10288,12698
3591,59995
8616,9850
2492,26995
6486,16850
1064,7995
11437,23495
1830,22995
608,23795
6823,33789
6667,10275
4537,11840
5267,8198
7649,25599
251,19291
6241,19950
2488,36995
4024,23456
3895,8500
9562,15225
17576,5700
11885,10500
8497,51200
8438,32900
754,7095
4928,26990
13441,8290
6210,29500
5882,63950
9209,12995
2567,10485
8428,10799
